2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-09 21:43:26,570 INFO Started: 20260309_214326
2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-09 21:43:26,570 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-09 21:43:26,570 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-09 21:43:26,572 INFO 
Found 542 input files

2026-03-09 21:43:26,572 INFO [1/542] BFI-0000234
2026-03-09 21:43:42,858 INFO   170,507 sequences -> part_table_BFI-0000234.bz2
2026-03-09 21:43:52,705 INFO   103,640 sequences -> part_table_BFI-0000254.bz2
2026-03-09 21:44:05,681 INFO   131,220 sequences -> part_table_BFI-0000255.bz2
2026-03-09 21:44:19,910 INFO   144,616 sequences -> part_table_BFI-0000256.bz2
2026-03-09 21:44:42,218 INFO   229,567 sequences -> part_table_BFI-0000258.bz2
2026-03-09 21:44:50,223 INFO   85,579 sequences -> part_table_BFI-0002850.bz2
2026-03-09 21:44:58,635 INFO   87,009 sequences -> part_table_BFI-0002851.bz2
2026-03-09 21:45:05,088 INFO   69,722 sequences -> part_table_BFI-0002852.bz2
2026-03-09 21:45:16,986 INFO   120,789 sequences -> part_table_BFI-0002854.bz2
2026-03-09 21:45:29,778 INFO   127,791 sequences -> part_table_BFI-0002855.bz2
2026-03-09 21:45:40,797 INFO   112,271 sequences -> part_table_BFI-0002856.bz2
2026-03-09 21:45:54,119 INFO   132,090 sequences -> part_table_BFI-0002857.bz2
2026-03-09 21:46:07,282 INFO   131,255 sequences -> part_table_BFI-0002859.bz2
2026-03-09 21:46:14,896 INFO   80,197 sequences -> part_table_BFI-0002861.bz2
2026-03-09 21:46:22,520 INFO   81,499 sequences -> part_table_BFI-0002862.bz2
2026-03-09 21:46:31,077 INFO   88,023 sequences -> part_table_BFI-0002863.bz2
2026-03-09 21:46:44,055 INFO   130,465 sequences -> part_table_BFI-0002864.bz2
2026-03-09 21:46:56,335 INFO   123,389 sequences -> part_table_BFI-0002865.bz2
2026-03-09 21:47:04,177 INFO   82,880 sequences -> part_table_BFI-0002866.bz2
2026-03-09 21:47:11,502 INFO   77,970 sequences -> part_table_BFI-0002867.bz2
2026-03-09 21:47:19,729 INFO   86,291 sequences -> part_table_BFI-0002868.bz2
2026-03-09 21:47:31,817 INFO   118,385 sequences -> part_table_BFI-0002870.bz2
2026-03-09 21:47:44,557 INFO   129,120 sequences -> part_table_BFI-0002871.bz2
2026-03-09 21:47:56,157 INFO   119,714 sequences -> part_table_BFI-0002875.bz2
2026-03-09 21:48:07,090 INFO   112,582 sequences -> part_table_BFI-0002877.bz2
2026-03-09 21:48:21,420 INFO   143,980 sequences -> part_table_BFI-0002879.bz2
2026-03-09 21:48:37,699 INFO   168,736 sequences -> part_table_BFI-0003051.bz2
2026-03-09 21:48:47,240 INFO   96,336 sequences -> part_table_BFI-0003052.bz2
