2026-03-12 23:25:17,650 INFO ============================================================
2026-03-12 23:25:17,650 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-12 23:25:17,650 INFO Started: 20260312_232517
2026-03-12 23:25:17,650 INFO ============================================================
2026-03-12 23:25:17,650 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-12 23:25:17,650 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-12 23:25:17,650 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-12 23:25:17,652 INFO 
Found 542 input files

2026-03-12 23:25:17,652 INFO [1/542] BFI-0000234
2026-03-12 23:25:31,899 INFO   170,507 sequences -> part_table_BFI-0000234.tsv.gz
2026-03-12 23:25:40,354 INFO   103,640 sequences -> part_table_BFI-0000254.tsv.gz
2026-03-12 23:25:50,906 INFO   131,220 sequences -> part_table_BFI-0000255.tsv.gz
2026-03-12 23:26:02,827 INFO   144,616 sequences -> part_table_BFI-0000256.tsv.gz
2026-03-12 23:26:22,374 INFO   229,567 sequences -> part_table_BFI-0000258.tsv.gz
2026-03-12 23:26:29,538 INFO   85,579 sequences -> part_table_BFI-0002850.tsv.gz
2026-03-12 23:26:36,739 INFO   87,009 sequences -> part_table_BFI-0002851.tsv.gz
2026-03-12 23:26:42,421 INFO   69,722 sequences -> part_table_BFI-0002852.tsv.gz
2026-03-12 23:26:52,563 INFO   120,789 sequences -> part_table_BFI-0002854.tsv.gz
2026-03-12 23:27:03,085 INFO   127,791 sequences -> part_table_BFI-0002855.tsv.gz
2026-03-12 23:27:12,549 INFO   112,271 sequences -> part_table_BFI-0002856.tsv.gz
2026-03-12 23:27:23,142 INFO   132,090 sequences -> part_table_BFI-0002857.tsv.gz
2026-03-12 23:27:33,794 INFO   131,255 sequences -> part_table_BFI-0002859.tsv.gz
2026-03-12 23:27:40,358 INFO   80,197 sequences -> part_table_BFI-0002861.tsv.gz
2026-03-12 23:27:47,172 INFO   81,499 sequences -> part_table_BFI-0002862.tsv.gz
2026-03-12 23:27:54,415 INFO   88,023 sequences -> part_table_BFI-0002863.tsv.gz
2026-03-12 23:28:05,239 INFO   130,465 sequences -> part_table_BFI-0002864.tsv.gz
2026-03-12 23:28:15,253 INFO   123,389 sequences -> part_table_BFI-0002865.tsv.gz
2026-03-12 23:28:22,185 INFO   82,880 sequences -> part_table_BFI-0002866.tsv.gz
2026-03-12 23:28:28,828 INFO   77,970 sequences -> part_table_BFI-0002867.tsv.gz
2026-03-12 23:28:35,967 INFO   86,291 sequences -> part_table_BFI-0002868.tsv.gz
2026-03-12 23:28:46,007 INFO   118,385 sequences -> part_table_BFI-0002870.tsv.gz
2026-03-12 23:28:56,736 INFO   129,120 sequences -> part_table_BFI-0002871.tsv.gz
2026-03-12 23:29:06,739 INFO   119,714 sequences -> part_table_BFI-0002875.tsv.gz
2026-03-12 23:29:16,362 INFO   112,582 sequences -> part_table_BFI-0002877.tsv.gz
2026-03-12 23:29:28,507 INFO   143,980 sequences -> part_table_BFI-0002879.tsv.gz
2026-03-12 23:29:43,494 INFO   168,736 sequences -> part_table_BFI-0003051.tsv.gz
2026-03-12 23:29:50,996 INFO   96,336 sequences -> part_table_BFI-0003052.tsv.gz
2026-03-12 23:30:05,773 INFO   171,293 sequences -> part_table_BFI-0003053.tsv.gz
2026-03-12 23:30:19,515 INFO   158,109 sequences -> part_table_BFI-0003054.tsv.gz
2026-03-12 23:30:33,119 INFO   156,324 sequences -> part_table_BFI-0003055.tsv.gz
2026-03-12 23:30:49,180 INFO   184,180 sequences -> part_table_BFI-0003057.tsv.gz
2026-03-12 23:31:03,572 INFO   167,515 sequences -> part_table_BFI-0003058.tsv.gz
2026-03-12 23:31:20,774 INFO   196,738 sequences -> part_table_BFI-0003059.tsv.gz
2026-03-12 23:31:37,890 INFO   196,262 sequences -> part_table_BFI-0003061.tsv.gz
2026-03-12 23:31:51,154 INFO   153,388 sequences -> part_table_BFI-0003062.tsv.gz
2026-03-12 23:32:05,195 INFO   156,995 sequences -> part_table_BFI-0003063.tsv.gz
2026-03-12 23:32:18,978 INFO   155,208 sequences -> part_table_BFI-0003065.tsv.gz
2026-03-12 23:32:33,698 INFO   164,539 sequences -> part_table_BFI-0003066.tsv.gz
2026-03-12 23:32:46,969 INFO   156,314 sequences -> part_table_BFI-0003067.tsv.gz
2026-03-12 23:33:00,784 INFO   156,495 sequences -> part_table_BFI-0003068.tsv.gz
2026-03-12 23:33:13,475 INFO   143,551 sequences -> part_table_BFI-0003070.tsv.gz
2026-03-12 23:33:27,156 INFO   151,343 sequences -> part_table_BFI-0003071.tsv.gz
2026-03-12 23:33:41,551 INFO   160,834 sequences -> part_table_BFI-0003075.tsv.gz
2026-03-12 23:33:55,658 INFO   161,633 sequences -> part_table_BFI-0003076.tsv.gz
2026-03-12 23:34:08,647 INFO   150,201 sequences -> part_table_BFI-0003077.tsv.gz
2026-03-12 23:34:22,826 INFO   158,624 sequences -> part_table_BFI-0003078.tsv.gz
2026-03-12 23:34:36,528 INFO   155,624 sequences -> part_table_BFI-0003079.tsv.gz
2026-03-12 23:35:07,112 INFO   356,619 sequences -> part_table_BFI-0003080.tsv.gz
2026-03-12 23:35:07,112 INFO [50/542] BFI-0003081
2026-03-12 23:35:33,684 INFO   293,008 sequences -> part_table_BFI-0003081.tsv.gz
2026-03-12 23:35:50,081 INFO   185,859 sequences -> part_table_BFI-0003082.tsv.gz
2026-03-12 23:36:04,935 INFO   167,369 sequences -> part_table_BFI-0003083.tsv.gz
2026-03-12 23:36:21,912 INFO   190,076 sequences -> part_table_BFI-0003084.tsv.gz
2026-03-12 23:36:38,314 INFO   184,904 sequences -> part_table_BFI-0003085.tsv.gz
2026-03-12 23:36:56,577 INFO   206,238 sequences -> part_table_BFI-0003086.tsv.gz
2026-03-12 23:37:14,113 INFO   194,341 sequences -> part_table_BFI-0003087.tsv.gz
2026-03-12 23:37:28,768 INFO   163,500 sequences -> part_table_BFI-0003088.tsv.gz
2026-03-12 23:37:43,725 INFO   174,224 sequences -> part_table_BFI-0003089.tsv.gz
2026-03-12 23:37:59,287 INFO   176,395 sequences -> part_table_BFI-0003090.tsv.gz
2026-03-12 23:38:09,593 INFO   120,308 sequences -> part_table_BFI-0003091.tsv.gz
